Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_239.jpg,15,0,0,0,99.66999,85.58901,0.0002376497,82.29173,-4.462476E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_306.jpg,15,0,0,0,99.66999,85.58901,0.0002374634,84.99172,-4.732646E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_372.jpg,15,0,0,0,99.66999,85.58901,0.0002359287,87.69173,-4.929576E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_440.jpg,15,0,0,0,99.66999,85.58901,0.0002366855,91.29172,-4.925345E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_506.jpg,15,0,0,0,99.66999,85.58901,0.0002377344,93.99173,-4.803594E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_573.jpg,15,0,0,0,99.66999,85.58901,0.0002381592,96.69171,-4.662267E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_640.jpg,15,0,0,0,99.66999,85.58901,0.0002401621,100.2917,-4.358075E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_706.jpg,15,0,0,0,99.66999,85.58901,0.000242987,102.9917,-4.130828E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_773.jpg,15,0,0,0,99.66999,85.58901,0.000245252,105.6917,-3.796987E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_842.jpg,15,0,0,0,99.66999,85.58901,0.0002502904,109.2917,-3.368986E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_906.jpg,15,0,0,0,99.66999,85.58901,0.0002542,111.9917,-2.990472E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_43_973.jpg,15,0,0,0,99.66999,85.58901,0.0002587149,114.6917,-2.688302E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_040.jpg,15,0,0,0,99.66999,85.58901,0.0002644806,118.2917,-2.337712E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_106.jpg,15,0,0,0,99.66999,85.58901,0.0002684196,120.9916,-2.026281E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_173.jpg,15,0,0,0,99.66999,85.58901,0.0002720713,123.6917,-1.792975E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_240.jpg,15,0,0,0,99.66999,85.58901,0.0002785077,127.2916,-1.445695E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_307.jpg,15,0,0,0,99.66999,85.58901,0.0002808525,129.9916,-1.230971E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_373.jpg,15,0,0,0,99.66999,85.589,0.0002840048,132.6916,-1.096038E-05
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_440.jpg,15,0,0,0,99.66999,85.589,0.0002876015,136.2915,-8.156831E-06
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_506.jpg,15,0,0,0,99.66999,85.589,0.0002907551,138.9915,-6.639849E-06
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_573.jpg,15,0,0,0,99.66998,85.589,0.0002929682,141.6915,-5.247602E-06
/Users/ydai/Desktop/Udacity/RoboND-Rover-Project/rec_dataset/IMG/robocam_2017_05_26_12_05_44_640.jpg,15,0,0,0,99.66998,85.589,0.0002943968,145.2915,-2.045234E-06
